license_number,business_name,dba_name,dba_registration_city,establishment_address_1,establishment_address_2,establishment_city,establishment_state,establishment_zipcode,latitude,longitude,county,county_lat,county_long,business_address_1,business_address_2,business_city,business_state,business_zipcode,geocoded_county,geocoded_address,mailing_address_1,mailing_address_2,mailing_city,mailing_state,mailing_zipcode,license_type,application_status,lic_status,approved_license_type,priority_applicant_type,cultivation_environment,cultivation_tier,establishment_activities,establishment_cultivation_environment,square_footage_establishment,APPLICATION_CREATED_DATE,CNB_DEEMED_COMPLETE_DATE,APPLICATION_APPROVED_DATE,CNB_DATE_OF_FINAL_LICENSURE-1,LIC_START_DATE,LIC_EXPIRATION_DATE,COMMENCE_OPERATIONS_DATE,CCCUpdateDate
MR283035,"Patient Centric of Martha's Vineyard, Ltd.",Island Time,West Tisbury,15 Mechanics St,,Tisbury,MA,02568,41.447621,-70.614097,Dukes,41.414842,-70.612681,90 Dr. Fisher Rd.,,West Tisbury,MA,02575,POINT (-70.612681 41.414842),POINT (-70.614097 41.4476209),PO Box 1323,,West Tisbury,MA,02575,Marijuana Retailer,APPROVED,COMPLETE,FINAL LICENSE,RMD Priority,,,,,6173,10/7/2019,7/29/2020,9/10/2020,7/15/2021,10/13/2022,11/19/2023,8/5/2021,12/19/2022
MR282947,"Patient Centric of Martha's Vineyard, Ltd.",,West Tisbury,510 State Road,,West Tisbury,MA,02575,41.414877,-70.66834,Dukes,41.414842,-70.612681,90 Dr. Fisher Rd.,,West Tisbury,MA,02575,POINT (-70.612681 41.414842),POINT (-70.668340 41.4148769),PO Box 1323,,West Tisbury,MA,02575,Marijuana Retailer,APPROVED,COMPLETE,FINAL LICENSE,General Applicant,,,,,2820,8/20/2019,5/26/2020,7/9/2020,7/15/2021,9/15/2022,9/30/2023,8/5/2021,12/19/2022
MP281747,"Patient Centric of Martha's Vineyard, Ltd.",,,90 Dr. Fisher Road,,West Tisbury,MA,02568,41.406044,-70.659763,Dukes,41.414842,-70.612681,90 Dr. Fisher Rd.,,West Tisbury,MA,02575,POINT (-70.612681 41.414842),POINT (-70.659762 41.4060440),90 Dr. Fisher Rd.,,West Tisbury,MA,02575,Marijuana Product Manufacturer,APPROVED,COMPLETE,FINAL LICENSE,RMD Priority,,,,,7200,8/20/2019,5/26/2020,7/9/2020,7/15/2021,9/15/2022,9/30/2023,8/25/2021,12/19/2022
MC282347,"Patient Centric of Martha's Vineyard, Ltd.",,,90 Dr. Fisher Road,,West Tisbury,MA,02575,41.406044,-70.659763,Dukes,41.414842,-70.612681,90 Dr. Fisher Rd.,,West Tisbury,MA,02575,POINT (-70.612681 41.414842),POINT (-70.659762 41.4060440),PO Box 1323,,West Tisbury,MA,02575,Marijuana Cultivator,APPROVED,COMPLETE,FINAL LICENSE,General Applicant,Indoor,"Tier 01: up to 5,000 square feet",,,7200,8/20/2019,5/26/2020,7/9/2020,7/15/2021,9/15/2022,9/30/2023,8/25/2021,12/19/2022
CO281373,Roaring Glen Farms LLC,NA,Conway,N/A,,N/A,MA,N/A,42.15652,-71.489592,,,,40 Whately Glen Road,,Conway,MA,01341,,POINT (-71.489592 42.15652),40 Whately Glen Road,,Conway,MA,01341,Craft Marijuana Cooperative,APPROVED,COMPLETE,PROVISIONAL LICENSE,General Applicant,Outdoor,"Tier 11: 90,001 to 100,000 sq. ft",,,,10/11/2018,11/1/2019,1/16/2020,,1/20/2022,2/10/2023,,12/19/2022
MP281343,Treeworks of Massachusetts LLC,,Hatfield,3 West Street,,Hatfield,MA,01088,42.36763,-72.637888,Hampshire,42.322256,-72.62073,3 West Street,,Hatfield,MA,01088,POINT (-72.62073 42.322256),POINT (-72.637888 42.3676299),3 West Street,,Hatfield,MA,01088,Marijuana Product Manufacturer,APPROVED,COMPLETE,FINAL LICENSE,General Applicant,,,,,3500,5/14/2018,2/20/2020,4/9/2020,2/11/2021,6/9/2022,6/19/2023,4/20/2021,12/19/2022
MB281450,"Keystone Bluff, LLC","Keystone Bluff, LLC",Chester,241 HWY 20,,Chester,MA,01011,42.277493,-72.98006,Hampden,42.12756,-72.571312,241 Highway 20,,Chester,MA,01011,POINT (-72.571312 42.12756),POINT (-72.980059 42.277493),PO Box 1,,Chester,MA,01011,Marijuana Microbusiness,APPROVED,PAYMENT_PENDING,PROVISIONAL CONSIDERATION,General Applicant,,,Both Cultivating and Manufacturing,Indoor,2057,7/20/2018,1/3/2020,3/5/2020,,,,,12/19/2022
MB282152,"Morning Dew, LLC",,Orange,47 Daniel Shays Highway,,Orange,MA,01364,42.562883,-72.280219,Franklin,42.587072,-72.573941,375 PINEDALE ROAD,,ATHOL,MA,01331,POINT (-72.573941 42.587072),POINT (-72.280219 42.5628829),375 PINEDALE ROAD,,ATHOL,MA,01331,Marijuana Microbusiness,APPROVED,COMPLETE,FINAL LICENSE,General Applicant,,,Cultivating,Indoor,7493,11/20/2020,2/19/2021,4/16/2021,6/9/2022,4/7/2022,5/4/2023,11/10/2022,12/19/2022
MB282384,Upper Echelon Cultivation LLC,,,420 Race St,,Holyoke,MA,01040,42.198607,-72.609389,Hampden,42.12756,-72.571312,460 Race St,,Holyoke,MA,01040,POINT (-72.571312 42.12756),POINT (-72.609388 42.1986070),131 Kerry Dr.,,Springfield,MA,01118,Marijuana Microbusiness,APPROVED,COMPLETE,PROVISIONAL LICENSE,General Applicant,,,Both Cultivating and Manufacturing,Indoor,8902,2/1/2022,5/6/2022,7/14/2022,,7/21/2022,7/21/2023,,12/19/2022
MB282344,"Greater Goods, LLC",,,445 Myles Standish Blvd.,,Taunton,MA,02780,41.955694,-71.134094,Bristol,41.778329,-71.102131,445 Myles Standish Blvd.,,Taunton,MA,02780,POINT (-71.102131 41.778329),POINT (-71.134094 41.9556940),599 E Broadway,,Boston,MA,02127,Marijuana Microbusiness,APPROVED,COMPLETE,PROVISIONAL LICENSE,General Applicant,,,Both Cultivating and Manufacturing,Indoor,10417,9/14/2021,10/22/2021,1/20/2022,,10/17/2022,10/17/2023,,12/19/2022
MP281819,"Salisbury Cultivation and Production Manufacturing, LLC",Leaf Laboratories,Salisbury,187 Lafayette Road,,Salisbury,MA,01952,42.862773,-70.873645,Essex,42.635475,-70.970827,187 Lafayette Road,,Salisbury,MA,01952,POINT (-70.970827 42.635475),POINT (-70.873644 42.8627729),PO Box 1479,,Newburyport,MA,01950,Marijuana Product Manufacturer,APPROVED,COMPLETE,FINAL LICENSE,General Applicant,,,,,40000,12/21/2019,4/15/2020,7/9/2020,4/7/2022,7/14/2022,8/12/2023,6/7/2022,12/19/2022
MC282530,"Salisbury Cultivation and Production Manufacturing, LLC",Root and Bloom,Salisbury,187 Lafayette Road,,Salisbury,MA,01952,42.862773,-70.873645,Essex,42.635475,-70.970827,187 Lafayette Road,,Salisbury,MA,01952,POINT (-70.970827 42.635475),POINT (-70.873644 42.8627729),PO Box 1479,,Newburyport,MA,01950,Marijuana Cultivator,APPROVED,COMPLETE,FINAL LICENSE,General Applicant,Indoor,"Tier 03: 10,001 to 20,000 sq. ft",,,40000,12/5/2019,4/15/2020,7/9/2020,4/7/2022,7/14/2022,8/12/2023,10/17/2022,12/19/2022
MR283469,Innovative Flower LLC,CROP,Framingham,655 Cochituate Road,,Framingham,MA,01701,42.308016,-71.385103,Middlesex,42.459085,-71.275566,655 Cochituate Road,,Framingham,MA,01701,POINT (-71.275566 42.459085),POINT (-71.385103 42.3080160),913 West Falmouth Highway,,Falmouth,MA,02540,Marijuana Retailer,APPROVED,COMPLETE,PROVISIONAL LICENSE,General Applicant,,,,,7200,4/20/2020,11/12/2020,2/11/2021,,1/20/2022,2/15/2023,,12/19/2022
MC283612,C3 Brands LLC,,,"Lot 6E, R.W. Moore Drive",,Orange,MA,01364,42.59721,-72.3032,Franklin,42.587072,-72.573941,"Lot 6E, R.W. Moore Drive",,Orange,MA,01364,POINT (-72.573941 42.587072),POINT (-72.303200 42.5972099),69 Hitchcock Lane,,Old Westbury,NY,11568,Marijuana Cultivator,APPROVED,COMPLETE,PROVISIONAL LICENSE,General Applicant,Indoor,"Tier 02: 5,001 to 10,000 sq. ft.",,,32750,9/29/2021,1/14/2022,3/10/2022,,4/11/2022,4/11/2023,,12/19/2022
MP282124,C3 Brands LLC,,,"Lot 6E, R.W. Moore Drive",,Orange,MA,01364,42.59721,-72.3032,Franklin,42.587072,-72.573941,"Lot 6E, R.W. Moore Drive",,Orange,MA,01364,POINT (-72.573941 42.587072),POINT (-72.303200 42.5972099),69 Hitchcock Lane,,Old Westbury,NY,11568,Marijuana Product Manufacturer,APPROVED,COMPLETE,PROVISIONAL LICENSE,General Applicant,,,,,16500,9/29/2021,1/14/2022,3/10/2022,,4/14/2022,4/14/2023,,12/19/2022
MP282005,CURE Pack MA LLC,,,644 River Street,,Fitchburg,MA,01420,42.57753,-71.831465,Worcester,42.329642,-71.840209,644 River Street,,Fitchburg,MA,01420,POINT (-71.840209 42.329642),POINT (-71.831464 42.5775300),212 East Rocks Road,,Norwalk,CT,06851,Marijuana Product Manufacturer,APPROVED,COMPLETE,PROVISIONAL LICENSE,General Applicant,,,,,1000,1/5/2021,4/15/2021,7/15/2021,,7/19/2021,7/19/2022,,12/19/2022
MC283358,"Sun Grown Alternatives, LLC",,,0 Progress Avenue,,Westfield,MA,01085,42.173962,-72.72403,Hampden,42.12756,-72.571312,0 Progress Avenue,,Westfield,MA,01085,POINT (-72.571312 42.12756),POINT (-72.724029 42.1739620),55 State Street,Suite 206,Springfield,MA,01103,Marijuana Cultivator,APPROVED,PAYMENT_PENDING,PROVISIONAL CONSIDERATION,General Applicant,Indoor,"Tier 03: 10,001 to 20,000 sq. ft",,,33000,2/11/2021,9/3/2021,11/18/2021,,,,,12/19/2022
MC281413,Urban Grown Inc.,,,149 Christian Lane,,Whately,MA,01093,42.447035,-72.607922,Franklin,42.587072,-72.573941,4 Keefe Avenue,,Holyoke,MA,01040,POINT (-72.573941 42.587072),POINT (-72.607922 42.447035),81 Shattuck Rd,,Hadley,MA,01035,Marijuana Cultivator,APPROVED,COMPLETE,PROVISIONAL LICENSE,General Applicant,Outdoor,"Tier 02: 5,001 to 10,000 sq. ft.",,,10000,5/8/2018,11/26/2018,1/24/2019,,2/10/2022,2/14/2023,,12/19/2022
MR281745,"Green Railroad Group, Inc.",,,82 Railroad Street,,Great Barrington,MA,01230,42.195716,-73.363053,Berkshire,42.396128,-73.209889,68 Main Street,2,Lenox,MA,01240,POINT (-73.209889 42.396128),POINT (-73.363052 42.1957159),68 Main Street,2,Lenox,MA,01240,Marijuana Retailer,APPROVED,COMPLETE,PROVISIONAL LICENSE,General Applicant,,,,,2832,7/25/2018,11/1/2019,1/16/2020,,4/7/2022,4/8/2023,,12/19/2022
MP281770,"Emerald Grove, Inc.",,,370 Wareham Street,"Lot 2, Building #3",Middleborough,MA,02346,41.857559,-70.864131,Plymouth,41.978877,-70.818958,31 Sadies Way,,Harwich,MA,02645,POINT (-70.818958 41.978877),POINT (-70.864131 41.8575590),31 Sadies Way,,,MA,02645,Marijuana Product Manufacturer,APPROVED,COMPLETE,PROVISIONAL LICENSE,General Applicant,,,,,7500,10/3/2019,7/10/2020,9/10/2020,,11/10/2022,12/3/2023,,12/19/2022
MR282808,"Emerald Grove, Inc.",,,"3 Main Street, Unit 1",,Eastham,MA,02642,41.852793,-69.987089,Barnstable,41.698999,-70.301811,31 Sadies Way,,Harwich,MA,02645,POINT (-70.301811 41.698999),POINT (-69.987088 41.8527929),31 Sadies Way,,Harwich,MA,02645,Marijuana Retailer,APPROVED,COMPLETE,FINAL LICENSE,General Applicant,,,,,2251,6/25/2019,3/27/2020,6/4/2020,3/11/2021,5/12/2022,6/18/2023,5/5/2021,12/19/2022
MC282426,"Emerald Grove, Inc.",,,370 Wareham Street,"Lot 2, Building #3",Middleborough,MA,02346,41.857559,-70.864131,Plymouth,41.978877,-70.818958,31 Sadies Way,,Harwich,MA,02645,POINT (-70.818958 41.978877),POINT (-70.864131 41.8575590),31 Sadies Way,,Harwich,MA,02645,Marijuana Cultivator,APPROVED,COMPLETE,PROVISIONAL LICENSE,General Applicant,Indoor,"Tier 01: up to 5,000 square feet",,,7500,10/1/2019,7/10/2020,9/10/2020,,11/10/2022,12/3/2023,,12/19/2022
MR282837,"Ascend Mass, LLC",,,1089 Washington Street,,Newton,MA,02465,42.350037,-71.217944,Middlesex,42.459085,-71.275566,500 Totten Pond Road,,Waltham,MA,02451,POINT (-71.275566 42.459085),POINT (-71.217944 42.350037),500 Totten Pond Road,,Waltham,MA,02451,Marijuana Retailer,APPROVED,COMPLETE,FINAL LICENSE,General Applicant,,,,,4990,7/7/2019,3/12/2020,6/4/2020,10/14/2021,6/9/2022,6/10/2023,11/12/2021,12/19/2022
MR282077,"Ascend Mass, LLC",,,268-274 Friend Street,,Boston,MA,02114,42.364684,-71.061448,Suffolk,42.334948,-71.073493,500 Totten Pond Road,,Waltham,MA,02451,POINT (-71.073493 42.334948),POINT (-71.061447 42.3646839),500 Totten Pond Road,,Waltham,MA,02451,Marijuana Retailer,APPROVED,COMPLETE,FINAL LICENSE,General Applicant,,,,,16000,11/23/2018,10/3/2019,1/9/2020,3/11/2021,1/20/2022,1/22/2023,4/22/2021,12/19/2022
IL281363,"ACT Laboratories of Massachusetts, LLC",,,131 John Fitch Highway,,Fitchburg,MA,01420,42.574624,-71.77653,Worcester,42.329642,-71.840209,131 John Fitch Highway,,Fitchburg,MA,01420,POINT (-71.840209 42.329642),POINT (-71.776529 42.574624),152 North Street,"Suite 340, East Wing",Pittsfield,MA,01201,Independent Testing Laboratory,APPROVED,PAYMENT_PENDING,PROVISIONAL CONSIDERATION,General Applicant,,,,,2503,12/31/2020,2/8/2022,3/10/2022,,,,,12/19/2022
MR282571,Northeast Select Harvest Corp.,,,378-380 Highland Avenue,,Somerville,MA,02144,42.395044,-71.119285,Middlesex,42.459085,-71.275566,23 Chester Street,,Somerville,MA,02144,POINT (-71.275566 42.459085),POINT (-71.119285 42.3950439),23 Chester Street,,Somerville,MA,02144,Marijuana Retailer,APPROVED,COMPLETE,FINAL LICENSE,General Applicant,,,,,3066,4/3/2019,10/15/2021,1/20/2022,12/8/2022,2/15/2022,2/15/2023,,12/19/2022
MC283481,Riverside Cannabis LLC,,Holyoke,1 Cabot Street,,Holyoke,MA,01040,42.196637,-72.602168,Hampden,42.12756,-72.571312,1 Cabot Street,,Holyoke,MA,01040,POINT (-72.571312 42.12756),POINT (-72.602168 42.1966370),1 Cabot Street,,Holyoke,MA,01040,Marijuana Cultivator,APPROVED,COMPLETE,PROVISIONAL LICENSE,RMD Priority,Indoor,"Tier 02: 5,001 to 10,000 sq. ft.",,,12250,4/18/2021,5/28/2021,7/15/2021,,7/14/2022,7/28/2023,,12/19/2022
MP281520,Blue Collar Botany Corp,,Fitchburg,644 River Street,,Fitchburg,MA,01420,42.57753,-71.831465,Worcester,42.329642,-71.840209,644 River Street,,Fitchburg,MA,01420,POINT (-71.840209 42.329642),POINT (-71.831464 42.5775300),644 River Street,,Fitchburg,MA,01420,Marijuana Product Manufacturer,APPROVED,COMPLETE,PROVISIONAL LICENSE,General Applicant,,,,,23000,10/21/2018,3/19/2020,6/4/2020,,6/9/2022,6/26/2023,,12/19/2022
MC281751,Blue Collar Botany Corp,,,644 River Street,,Fitchburg,MA,01420,42.57753,-71.831465,Worcester,42.329642,-71.840209,644 River Street,,Fitchburg,MA,01420,POINT (-71.840209 42.329642),POINT (-71.831464 42.5775300),644 River Street,,Fitchburg,MA,01420,Marijuana Cultivator,APPROVED,COMPLETE,PROVISIONAL LICENSE,General Applicant,Indoor,"Tier 01: up to 5,000 square feet",,,23000,10/11/2018,3/19/2020,6/4/2020,,6/9/2022,6/23/2023,,12/19/2022
MB281402,Freshly Baked Company,,,144 W. Britannia St,,Taunton,MA,02780,41.918054,-71.1012,Bristol,41.778329,-71.102131,144 W. Britannia St,,Taunton,MA,02780,POINT (-71.102131 41.778329),POINT (-71.101200 41.9180539),144 W. Britannia St,,Taunton,MA,02780,Marijuana Microbusiness,APPROVED,COMPLETE,FINAL LICENSE,General Applicant,,,Manufacturing,Indoor,800,5/30/2018,1/7/2020,3/5/2020,1/14/2021,3/10/2022,3/16/2023,2/17/2021,12/19/2022
MR284552,"Seven Leaf Sisters, Inc.",Partake by Kind Lab,Marblehead,385 Atlantic Avenue,,Marblehead,MA,01945,42.482958,-70.875876,Essex,42.635475,-70.970827,37 Gregory Street,,Marblehead,MA,01945,POINT (-70.970827 42.635475),POINT (-70.875876 42.4829579),385 Atlantic Avenue,,Marblehead,MA,01945,Marijuana Retailer,APPROVED,PAYMENT_PENDING,PROVISIONAL CONSIDERATION,General Applicant,,,,,1072,1/4/2022,2/18/2022,5/12/2022,,,,,12/19/2022
MP282166,"Seven Leaf Sisters, Inc.",Partake by Kind Lab,Marblehead,385 Atlantic Avenue,,Marblehead,MA,01945,42.482958,-70.875876,Essex,42.635475,-70.970827,37 Gregory Street,,Marblehead,MA,01945,POINT (-70.970827 42.635475),POINT (-70.875876 42.4829579),385 Atlantic Avenue,,Marblehead,MA,01945,Marijuana Product Manufacturer,APPROVED,PAYMENT_PENDING,PROVISIONAL CONSIDERATION,General Applicant,,,,,1072,1/4/2022,2/18/2022,5/12/2022,,,,,12/19/2022
MP282046,Debilitating Medical Condition Treatment Centers,,Springfield,578-582 Meadow Street Extension,,Agawam,MA,01001,42.081118,-72.588386,Hampden,42.12756,-72.571312,11-13 Hampden St,,Springfield,MA,01103,POINT (-72.571312 42.12756),POINT (-72.588386 42.0811179),11-13 Hampden St,,Springfield,MA,01103,Marijuana Product Manufacturer,APPROVED,COMPLETE,PROVISIONAL LICENSE,RMD Priority,,,,,10000,3/2/2021,4/30/2021,6/22/2021,,11/21/2022,11/21/2023,,12/19/2022
MR281621,Debilitating Medical Condition Treatment Centers,,Springfield,424 State Rd,,Whately,MA,01373,42.470101,-72.614047,Franklin,42.587072,-72.573941,7 River Rd,,Whately,MA,01093,POINT (-72.573941 42.587072),POINT (-72.614046 42.470101),7 RIver Rd,,Whately,MA,01093,Marijuana Retailer,APPROVED,PAYMENT_PENDING,PROVISIONAL CONSIDERATION,RMD Priority,,,,,16000,6/20/2018,8/8/2022,11/10/2022,,,,,12/19/2022
MP281932,Good Feels Inc,,Medway,23 Jayar Rd,Suite 6,Medway,MA,02053,42.159438,-71.392124,Norfolk,42.199156,-71.15444,1 Shady Ln,,Medway,MA,02053,POINT (-71.15444 42.199156),POINT (-71.392123 42.1594380),1 Shady Ln,,Medway,MA,02053,Marijuana Product Manufacturer,APPROVED,COMPLETE,FINAL LICENSE,General Applicant,,,,,1896,8/13/2020,11/5/2020,1/14/2021,1/20/2022,1/20/2022,1/27/2023,3/2/2022,12/19/2022
MC283056,Debilitating Medical Condition Treatment Centers,"Debilitating Medical Condition Treatment Centers, Inc.",Springfield,7 River Rd,,Whately,MA,01093,42.423228,-72.590737,Franklin,42.587072,-72.573941,11-13 Hampden St,,Springfield,MA,01103,POINT (-72.573941 42.587072),POINT (-72.590737 42.4232280),11-13 Hampden St,,Springfield,MA,01103,Marijuana Cultivator,APPROVED,COMPLETE,FINAL LICENSE,RMD Priority,Outdoor,"Tier 10: 80,001 to 90,000 sq. ft",,,807413,9/16/2020,3/5/2021,4/16/2021,7/15/2021,4/7/2022,4/30/2023,2/7/2022,12/19/2022
MP282067,Debilitating Medical Condition Treatment Centers,,Springfield,3 River rd,,Whately,MA,01093,42.583786,-72.496113,Franklin,42.587072,-72.573941,11-13 Hampden St,,Springfield,MA,01103,POINT (-72.573941 42.587072),POINT (-72.496112 42.5837860),11-13 Hampden St,,Springfield,MA,01103,Marijuana Product Manufacturer,APPROVED,COMPLETE,FINAL LICENSE,General Applicant,,,,,10000,4/22/2021,9/17/2021,11/18/2021,4/7/2022,12/15/2021,1/14/2023,4/26/2022,12/19/2022
MC283486,Debilitating Medical Condition Treatment Centers,,Springfield,7 River Rd,,Whately,MA,01093,42.423228,-72.590737,Franklin,42.587072,-72.573941,11-13 Hampden St,,Springfield,MA,01103,POINT (-72.573941 42.587072),POINT (-72.590737 42.4232280),11-13 Hampden St,,Springfield,MA,01103,Marijuana Cultivator,APPROVED,COMPLETE,PROVISIONAL LICENSE,RMD Priority,Indoor,"Tier 01: up to 5,000 square feet",,,618950,4/20/2021,5/7/2021,6/22/2021,,2/4/2022,2/4/2023,,12/19/2022
MR283325,"Nature's Alternative, Inc.",Terps,,2393 Route 6,,Wellfleet,MA,02667,41.927904,-70.014686,Barnstable,41.698999,-70.301811,2393 Route 6,,Wellfleet,MA,02667,POINT (-70.301811 41.698999),POINT (-70.014685 41.9279039),72 Pine Street,Suite 1,Providence,RI,02903,Marijuana Retailer,APPROVED,COMPLETE,FINAL LICENSE,General Applicant,,,,,3250,3/4/2020,8/13/2020,11/19/2020,7/15/2021,12/8/2022,12/11/2023,8/5/2021,12/19/2022
MC282217,Peak Limited LLC,,,114 Jewett Street,,Georgetown,MA,01833,42.734939,-70.951035,Essex,42.635475,-70.970827,114 Jewett Street,,Georgetown,MA,01833,POINT (-70.970827 42.635475),POINT (-70.951035 42.7349389),114 Jewett Street,,Georgetown,MA,01833,Marijuana Cultivator,APPROVED,COMPLETE,PROVISIONAL LICENSE,General Applicant,Indoor,"Tier 02: 5,001 to 10,000 sq. ft.",,,10735,6/17/2019,3/27/2020,7/9/2020,,8/12/2021,8/12/2022,,12/19/2022
MP281400,Peak Limited LLC,,,114 Jewett Street,,Georgetown,MA,01833,42.734939,-70.951035,Essex,42.635475,-70.970827,114 Jewett Street,,Georgetown,MA,01833,POINT (-70.970827 42.635475),POINT (-70.951035 42.7349389),114 Jewett Street,,Georgetown,MA,01833,Marijuana Product Manufacturer,APPROVED,COMPLETE,PROVISIONAL LICENSE,General Applicant,,,,,6019,6/12/2018,2/13/2020,5/8/2020,,8/12/2021,8/12/2022,,12/19/2022
MP281707,Peak Limited LLC,,,113 Jewett Street,,Georgetown,MA,01833,42.734758,-70.95166,Essex,42.635475,-70.970827,114 Jewett Street,,Georgetown,MA,01833,POINT (-70.970827 42.635475),POINT (-70.951660 42.7347579),114 Jewett Street,,Georgetown,MA,01833,Marijuana Product Manufacturer,APPROVED,COMPLETE,PROVISIONAL LICENSE,General Applicant,,,,,10000,6/17/2019,3/27/2020,7/20/2020,,8/12/2021,8/12/2022,,12/19/2022
MC281941,Peak Limited LLC,,,113 Jewett Street,,Georgetown,MA,01833,42.734758,-70.95166,Essex,42.635475,-70.970827,114 Jewett Street,,Georgetown,MA,01833,POINT (-70.970827 42.635475),POINT (-70.951660 42.7347579),114 Jewett Street,,Georgetown,MA,01833,Marijuana Cultivator,APPROVED,COMPLETE,PROVISIONAL LICENSE,General Applicant,Indoor,"Tier 02: 5,001 to 10,000 sq. ft.",,,10000,1/21/2019,2/13/2020,5/8/2020,,8/12/2021,8/12/2022,,12/19/2022
MP281319,"Northeast Alternatives, Inc.",,,999 William S. Canning Boulevard,,Fall River,MA,02721,41.665495,-71.156976,Bristol,41.778329,-71.102131,999 William S. Canning Blvd.,,Fall River,MA,02721,POINT (-71.102131 41.778329),POINT (-71.156976 41.665495),999 William S. Canning Blvd.,,Fall River,MA,02721,Marijuana Product Manufacturer,APPROVED,COMPLETE,FINAL LICENSE,RMD Priority,,,,,2000,4/29/2018,7/19/2018,9/6/2018,12/13/2018,10/13/2022,10/14/2023,1/16/2019,12/19/2022
MC282112,"Northeast Alternatives, Inc.",,,310 Kenneth Welch Dr.,,Lakeville,MA,02347,41.8857,-70.947677,Plymouth,41.978877,-70.818958,999 William S Canning Blvd,,Fall River,MA,02721,POINT (-70.818958 41.978877),POINT (-70.947676 41.8857),999 William S Canning Blvd,,Fall River,MA,02721,Marijuana Cultivator,APPROVED,COMPLETE,FINAL LICENSE,RMD Priority,Indoor,"Tier 06: 40,001 to 50,000 sq. ft",,,97000,4/24/2019,10/8/2021,11/18/2021,4/7/2022,12/16/2021,1/13/2023,,12/19/2022
MR281314,"Northeast Alternatives, Inc.","Northeast Alternatives, Inc.",Fall River,999 William S. Canning Boulevard,,Fall River,MA,02721,41.665495,-71.156976,Bristol,41.778329,-71.102131,999 William S. Canning Boulevard,,Fall River,MA,02721,POINT (-71.102131 41.778329),POINT (-71.156976 41.665495),999 William S. Canning Boulevard,,Fall River,MA,02721,Marijuana Retailer,APPROVED,COMPLETE,FINAL LICENSE,RMD Priority,,,,,1545,4/24/2018,7/19/2018,8/23/2018,12/13/2018,10/13/2022,10/14/2023,1/16/2019,12/19/2022
MC281319,"Northeast Alternatives, Inc.",,,999 William S. Canning Boulevard,,Fall River,MA,02721,41.665495,-71.156976,Bristol,41.778329,-71.102131,999 William S. Canning Blvd.,,Fall River,MA,02721,POINT (-71.102131 41.778329),POINT (-71.156976 41.665495),999 William S. Canning Blvd.,,Fall River,MA,02721,Marijuana Cultivator,APPROVED,COMPLETE,FINAL LICENSE,RMD Priority,Indoor,"Tier 01: up to 5,000 square feet",,,8265,4/29/2018,7/19/2018,9/6/2018,12/13/2018,10/13/2022,10/14/2023,1/16/2019,12/19/2022
MP281868,"Northeast Alternatives, Inc.",,,310 Kenneth Welch Dr.,,Lakeville,MA,02347,41.8857,-70.947677,Plymouth,41.978877,-70.818958,999 William S. Canning Blvd.,,Fall River,MA,02721,POINT (-70.818958 41.978877),POINT (-70.947676 41.8857),999 William S. Canning Blvd.,,Fall River,MA,02721,Marijuana Product Manufacturer,APPROVED,COMPLETE,PROVISIONAL LICENSE,RMD Priority,,,,,97000,4/6/2020,10/8/2021,11/18/2021,,12/16/2021,12/16/2022,,12/19/2022
MR283997,"Discern'd Cannabis Purveyors, Inc.",,,130 Worcester Street,,Grafton,MA,01519,42.224272,-71.70479,Worcester,42.329642,-71.840209,130 Worcester Street,,North Grafton,MA,01536,POINT (-71.840209 42.329642),POINT (-71.704790 42.2242719),4 Elizabeth Street,,North Grafton,MA,01536,Marijuana Retailer,APPROVED,COMPLETE,PROVISIONAL LICENSE,General Applicant,,,,,2400,12/28/2020,1/14/2021,4/16/2021,,5/12/2022,5/13/2023,,12/19/2022
MR283098,"6 Bricks, LLC.",,,1860 Main Street,,Springfield,MA,01105,42.105412,-72.597964,Hampden,42.12756,-72.571312,250 Albany Street,,Springfield,MA,01105,POINT (-72.571312 42.12756),POINT (-72.597964 42.1054120),250 Albany Street,,Springfield,MA,01105,Marijuana Retailer,APPROVED,COMPLETE,FINAL LICENSE,General Applicant,,,,,7850,11/2/2019,3/12/2020,7/9/2020,7/14/2022,11/10/2022,11/11/2023,8/23/2022,12/19/2022
MR282243,"The Blue Jay Botanicals, Inc.",The Boston Garden Dispensary,,22 Chestnut Hill Avenue,,Athol,MA,01331,42.595206,-72.221446,Worcester,42.329642,-71.840209,"600 Worcester Road, Suite 401",,Framingham,MA,01702,POINT (-71.840209 42.329642),POINT (-72.221446 42.5952059),"600 Worcester Road, Suite 401",,Framingham,MA,01702,Marijuana Retailer,APPROVED,COMPLETE,FINAL LICENSE,Economic Empowerment Priority,,,,,5700,1/2/2019,7/23/2020,9/10/2020,7/15/2021,11/10/2022,11/12/2023,8/20/2021,12/19/2022
MR281309,Temescal Wellness of Massachusetts,,,252 Coolidge Street,,Hudson,MA,01749,42.396807,-71.601889,Middlesex,42.459085,-71.275566,252 Coolidge St,,Hudson,MA,01749,POINT (-71.275566 42.459085),POINT (-71.601889 42.3968070),665 Cochituate Road,Second Floor,Framingham,MA,01701,Marijuana Retailer,APPROVED,COMPLETE,FINAL LICENSE,RMD Priority,,,,,2700,4/24/2018,8/30/2018,9/20/2018,12/13/2018,9/23/2022,9/24/2023,1/8/2019,12/19/2022
